GLID,TxnDate,AccountNumber,AccountName,Debit,Credit,Dept,CostCenter,Description,Currency
GL000000,2024-05-05,4000,Sales Revenue,0,2505.15,Sales,CC500,AutoPost 0,GBP
GL000001,2024-06-23,5000,COGS,1184.73,0,HR,CC500,AutoPost 1,GBP
GL000002,2025-01-09,5000,COGS,748.25,0,IT,CC300,AutoPost 2,EUR
GL000003,2023-09-30,6000,Payroll Expense,1610.64,0,Sales,CC400,AutoPost 3,AUD
GL000004,2023-08-03,5000,COGS,1053.12,0,HR,CC400,AutoPost 4,USD
GL000005,2025-05-11,6000,Payroll Expense,1653.64,0,Marketing,CC400,AutoPost 5,USD
GL000006,2023-08-04,5010,Travel Expense,899.55,0,HR,CC200,AutoPost 6,USD
GL000007,2023-12-22,6000,Payroll Expense,247.27,0,Marketing,CC500,AutoPost 7,USD
GL000008,2024-04-30,5000,COGS,202.02,0,Finance,CC300,AutoPost 8,GBP
GL000009,2023-04-13,5000,COGS,1093.72,0,HR,CC400,AutoPost 9,USD
GL000010,2023-11-20,4010,Online Sales,0,3282.35,Marketing,CC100,AutoPost 10,CAD
GL000011,2024-11-12,4000,Sales Revenue,0,2452.2,Marketing,CC200,AutoPost 11,EUR
GL000012,2024-05-25,4000,Sales Revenue,0,3490.39,Marketing,CC500,AutoPost 12,CAD
GL000013,2024-02-22,4000,Sales Revenue,0,3379.63,Sales,CC100,AutoPost 13,CAD
GL000014,2025-04-29,4010,Online Sales,0,1490.43,Sales,CC400,AutoPost 14,GBP
GL000015,2023-04-02,5000,COGS,1119.05,0,HR,CC100,AutoPost 15,AUD
GL000016,2025-03-06,4010,Online Sales,0,4006.73,Sales,CC200,AutoPost 16,EUR
GL000017,2024-11-09,4000,Sales Revenue,0,259.84,Operations,CC100,AutoPost 17,AUD
GL000018,2023-01-27,5010,Travel Expense,735.45,0,IT,CC100,AutoPost 18,CAD
GL000019,2024-09-02,5000,COGS,154.43,0,Operations,CC300,AutoPost 19,CAD
GL000020,2024-03-28,6000,Payroll Expense,359.1,0,IT,CC300,AutoPost 20,CAD
GL000021,2023-07-01,4010,Online Sales,0,1632.86,IT,CC500,AutoPost 21,CAD
GL000022,2024-05-29,5000,COGS,319.7,0,IT,CC500,AutoPost 22,USD
GL000023,2023-03-22,5000,COGS,546.02,0,IT,CC200,AutoPost 23,CAD
GL000024,2023-04-09,5010,Travel Expense,267.04,0,HR,CC200,AutoPost 24,AUD
GL000025,2025-05-25,4000,Sales Revenue,0,1650.08,IT,CC200,AutoPost 25,USD
GL000026,2024-11-14,5000,COGS,115,0,Sales,CC100,AutoPost 26,AUD
GL000027,2025-06-12,4010,Online Sales,0,1073.41,Sales,CC400,AutoPost 27,AUD
GL000028,2025-03-19,4010,Online Sales,0,3466,Finance,CC400,AutoPost 28,GBP
GL000029,2024-03-26,5010,Travel Expense,947.43,0,Sales,CC300,AutoPost 29,CAD
GL000030,2024-01-07,4010,Online Sales,0,4495.89,Sales,CC400,AutoPost 30,GBP
GL000031,2024-05-04,5000,COGS,72.88,0,Sales,CC500,AutoPost 31,CAD
GL000032,2023-01-15,4010,Online Sales,0,867.61,IT,CC500,AutoPost 32,AUD
GL000033,2023-11-17,5010,Travel Expense,1416.83,0,Operations,CC500,AutoPost 33,USD
GL000034,2024-07-28,5010,Travel Expense,806.72,0,Sales,CC100,AutoPost 34,AUD
GL000035,2024-05-13,4000,Sales Revenue,0,391.57,Finance,CC200,AutoPost 35,EUR
GL000036,2025-04-20,5000,COGS,248.09,0,Finance,CC500,AutoPost 36,EUR
GL000037,2023-06-19,5010,Travel Expense,1469.2,0,IT,CC500,AutoPost 37,USD
GL000038,2025-01-03,6000,Payroll Expense,1924.85,0,Finance,CC100,AutoPost 38,EUR
GL000039,2024-02-03,5010,Travel Expense,1416.63,0,IT,CC400,AutoPost 39,CAD
GL000040,2024-12-22,6000,Payroll Expense,358.23,0,Sales,CC400,AutoPost 40,AUD
GL000041,2023-09-27,5010,Travel Expense,1647.4,0,HR,CC100,AutoPost 41,EUR
GL000042,2023-02-08,5000,COGS,945.76,0,Marketing,CC300,AutoPost 42,AUD
GL000043,2023-03-15,6000,Payroll Expense,941.14,0,Finance,CC400,AutoPost 43,EUR
GL000044,2024-08-28,6000,Payroll Expense,142.16,0,Operations,CC200,AutoPost 44,EUR
GL000045,2024-03-19,4010,Online Sales,0,1368.77,Marketing,CC500,AutoPost 45,EUR
GL000046,2023-01-25,4000,Sales Revenue,0,2507.52,Marketing,CC400,AutoPost 46,EUR
GL000047,2024-03-08,4000,Sales Revenue,0,1744.89,Finance,CC400,AutoPost 47,USD
GL000048,2025-05-11,6000,Payroll Expense,1408.09,0,IT,CC400,AutoPost 48,CAD
GL000049,2023-03-14,6000,Payroll Expense,480.19,0,Marketing,CC100,AutoPost 49,EUR
GL000050,2024-09-18,5000,COGS,1444.62,0,Marketing,CC100,AutoPost 50,CAD
GL000051,2024-10-26,4000,Sales Revenue,0,4456.24,HR,CC400,AutoPost 51,CAD
GL000052,2025-06-09,4000,Sales Revenue,0,4800.28,Operations,CC400,AutoPost 52,CAD
GL000053,2023-11-19,5000,COGS,425.12,0,Marketing,CC500,AutoPost 53,AUD
GL000054,2024-04-26,6000,Payroll Expense,1830.18,0,Finance,CC500,AutoPost 54,EUR
